"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.61606,1,1
"S2",0,0.60216,1,1
"S2-S3_Linker",0,0.65007,1,1
"S3",0,0.61136,1,1
"S4",0,0.66147,1,1
"S4-S5_Linker",0,0.37584,1,1
"S5",0,0.59166,1,1
"Pore_Loop",0,1.12941,1,1
"S6",0,0.60786,1,1
"Helix_A",0,0.77028,1,1
"Helix_B",0,0.69237,1,1
"Helix_C",1,0.62466,0.4641,1
"Helix_D",0,0.94169,1,1
"Ankyrin_G_Binding",0,0.48785,1,1
