"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.71207,1,1
"S2",0,0.72007,1,1
"S2-S3_Linker",0,0.79438,1,1
"S3",0,0.71597,1,1
"S4",1,0.73677,0.5357,1
"S4-S5_Linker",0,0.49385,1,1
"S5",1,0.72347,0.5313,1
"Pore_Loop",9,1.62726,1e-04,9e-04
"S6",1,0.73247,0.5266,1
