"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.41804,1,1
"S2",0,0.41084,1,1
"S2-S3_Linker",0,0.45545,1,1
"S3",0,0.41834,1,1
"S4",1,0.44514,0.3674,1
"S4-S5_Linker",0,0.27533,1,1
"S5",1,0.41944,0.3515,1
"Pore_Loop",1,0.9728,0.6539,1
"S6",0,0.40874,1,1
