"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",2,5.64806,0.9796,1
"S2",1,5.66167,0.9975,1
"S2-S3_Linker",4,6.20852,0.8776,1
"S3",2,5.63296,0.9806,1
"S4",18,6.15202,1e-04,9e-04
"S4-S5_Linker",1,3.49605,0.9711,1
"S5",8,5.65187,0.205,1
"Pore_Loop",29,10.54065,1e-04,9e-04
"S6",11,5.62776,0.027,0.243
