"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",2,1.0295,0.276,1
"S2",0,1.0415,1,1
"S2-S3_Linker",3,1.14731,0.1057,1
"S3",0,1.0282,1,1
"S4",4,1.12691,0.0259,0.3626
"S4-S5_Linker",1,0.62626,0.4683,1
"S5",2,1.0311,0.273,1
"Pore_Loop",5,1.9579,0.0453,0.6342
"S6",3,1.0282,0.0825,1
"Helix_A",3,1.32323,0.1463,1
"Helix_B",2,1.19032,0.3344,1
"Helix_C",2,1.08101,0.295,1
"Helix_D",1,1.62916,0.8042,1
"Ankyrin_G_Binding",0,0.83638,1,1
