"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",3,2.69037,0.5078,1
"S2",3,2.69127,0.5131,1
"S2-S3_Linker",3,2.92589,0.5653,1
"S3",1,2.68247,0.9347,1
"S4",3,2.975,0.5796,1
"S4-S5_Linker",1,1.66897,0.8162,1
"S5",3,2.70737,0.5134,1
"Pore_Loop",8,4.9955,0.1165,1
"S6",6,2.72147,0.0518,0.4662
