"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.12381,1,1
"S2",0,0.11731,1,1
"S2-S3_Linker",0,0.13511,1,1
"S3",0,0.12031,1,1
"S4",3,0.13571,4e-04,0.0056
"S4-S5_Linker",0,0.07551,1,1
"S5",0,0.11971,1,1
"Pore_Loop",1,0.22982,0.2102,1
"S6",0,0.11931,1,1
"Helix_A",0,0.15102,1,1
"Helix_B",1,0.13521,0.1275,1
"Helix_C",0,0.12451,1,1
"Helix_D",0,0.18942,1,1
"Ankyrin_G_Binding",0,0.09511,1,1
