"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.26673,1,1
"S2",0,0.27323,1,1
"S2-S3_Linker",0,0.29583,1,1
"S3",0,0.27323,1,1
"S4",3,0.28883,0.0015,0.0135
"S4-S5_Linker",0,0.16662,1,1
"S5",0,0.27093,1,1
"Pore_Loop",1,0.51085,0.4165,1
"S6",0,0.26463,1,1
