"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.44254,1,1
"S2",0,0.45615,1,1
"S2-S3_Linker",0,0.49715,1,1
"S3",0,0.46125,1,1
"S4",1,0.48435,0.3871,1
"S4-S5_Linker",0,0.29883,1,1
"S5",1,0.46605,0.3788,1
"Pore_Loop",1,1.06071,0.6561,1
"S6",0,0.45715,1,1
"Helix_A",0,0.59006,1,1
"Helix_B",1,0.52155,0.4087,1
"Helix_C",1,0.49535,0.3923,1
"Helix_D",2,0.71057,0.1554,1
"Ankyrin_G_Binding",0,0.28153,1,1
