"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.46225,1,1
"S2",0,0.47125,1,1
"S2-S3_Linker",0,0.49915,1,1
"S3",0,0.45875,1,1
"S4",1,0.47835,0.3792,1
"S4-S5_Linker",0,0.31103,1,1
"S5",1,0.45385,0.3664,1
"Pore_Loop",9,1.06951,1e-04,0.0014
"S6",1,0.45965,0.3713,1
"Helix_A",2,0.57906,0.1129,1
"Helix_B",0,0.52685,1,1
"Helix_C",0,0.49615,1,1
"Helix_D",0,0.72667,1,1
"Ankyrin_G_Binding",0,0.28093,1,1
