"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,3.78788,1,1
"S2",1,3.81008,0.9801,1
"S2-S3_Linker",1,4.09521,0.9844,1
"S3",2,3.73567,0.8949,1
"S4",11,4.13051,0.0027,0.0243
"S4-S5_Linker",0,2.35024,1,1
"S5",6,3.76048,0.1701,1
"Pore_Loop",23,6.9999,1e-04,9e-04
"S6",8,3.76408,0.0313,0.2817
