"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",2,1.60296,0.4874,1
"S2",0,1.64106,1,1
"S2-S3_Linker",3,1.76518,0.2557,1
"S3",0,1.61906,1,1
"S4",4,1.76018,0.0957,0.8613
"S4-S5_Linker",1,0.9898,0.6439,1
"S5",2,1.61446,0.4849,1
"Pore_Loop",5,3.0187,0.1763,1
"S6",3,1.61216,0.2125,1
