"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",3,3.12731,0.6055,1
"S2",3,3.13531,0.6083,1
"S2-S3_Linker",3,3.45135,0.6713,1
"S3",1,3.12621,0.9569,1
"S4",3,3.40234,0.6635,1
"S4-S5_Linker",1,1.92439,0.8534,1
"S5",3,3.11731,0.604,1
"Pore_Loop",8,5.85219,0.2329,1
"S6",6,3.15242,0.0976,1
"Helix_A",0,4.0391,1,1
"Helix_B",3,3.55186,0.6914,1
"Helix_C",5,3.28063,0.2269,1
"Helix_D",3,4.92039,0.872,1
"Ankyrin_G_Binding",5,2.52245,0.1119,1
