"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",0,0.05881,1,1
"S2",0,0.05701,1,1
"S2-S3_Linker",0,0.06661,1,1
"S3",0,0.06071,1,1
"S4",0,0.06011,1,1
"S4-S5_Linker",0,0.0414,1,1
"S5",0,0.06051,1,1
"Pore_Loop",0,0.14211,1,1
"S6",0,0.05781,1,1
