"DOMAIN","OBSERVED","EXPECTED","RAW.P.VALUE","ADJ.P.VALUE"
"S1",2,3.12781,0.8214,1
"S2",1,3.12991,0.9604,1
"S2-S3_Linker",4,3.45725,0.4569,1
"S3",2,3.13981,0.8219,1
"S4",18,3.41824,1e-04,0.0014
"S4-S5_Linker",1,1.93179,0.8542,1
"S5",8,3.12841,0.0147,0.2058
"Pore_Loop",29,5.77688,1e-04,0.0014
"S6",11,3.15112,5e-04,0.007
"Helix_A",7,4.0322,0.1126,1
"Helix_B",8,3.56506,0.0272,0.3808
"Helix_C",5,3.25173,0.2279,1
"Helix_D",1,4.89739,0.9926,1
"Ankyrin_G_Binding",0,2.55406,1,1
